county_name,FIPS_Code,crime_rate_per_100000,Unemployment_rate_2023,PCTPOVALL_2023,MEDHHINC_2023,"Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 2019-23"
"St. Louis city, MO",29510,1791.995377,3.7,20.1,55231.0,9.525643434,40.17424385
"Crittenden County, AR",05035,1754.914968,4.2,20.6,52153.0,14.7110045,17.19515
"Alexander County, IL",17003,1664.700485,6.3,25.8,45550.0,13.34269663,12.55617978
"Kenedy County, TX",48261,1456.31068,7.1,14.9,43037.0,53.19148936,10.63829787
"De Soto Parish, LA",22031,1447.40243,4.1,17.7,53165.0,14.99648097,14.89361702
"Baltimore city, MD",24510,1419.537569,2.9,20.2,58616.0,12.79718031,35.42740539
"Shelby County, TN",47157,1315.003752,4.3,18.2,62402.0,10.16832687,34.19779025
"Marlboro County, SC",45069,1253.437132,7.2,27.2,42308.0,18.46861129,8.729655464
"Storey County, NV",32029,1217.656012,4.3,7.4,88684.0,10.12544803,31.63082437
"District of Columbia, DC",11001,1216.801325,4.9,15.2,104643.0,7.153297028,63.56362225
"Dillon County, SC",45033,1165.583272,4.4,24.4,45269.0,18.37108954,11.68824164
"Scott County, MO",29201,1163.145839,3.0,15.1,60088.0,13.57217878,21.67503015
"Philadelphia County, PA",42101,1150.29633,4.2,20.3,60196.0,12.60348091,34.63927807
"Pershing County, NV",32027,1148.756725,4.7,16.8,66928.0,14.36665318,9.348441926
"Greenwood County, SC",45047,1140.226324,3.5,16.9,56726.0,11.12302447,25.5655866
"Madison County, TN",47113,1138.42383,3.3,18.6,60663.0,9.687101373,25.95032641
"Davidson County, TN",47037,1129.513728,2.7,12.3,80216.0,9.659984755,47.32054526
"Marion County, IN",18097,1083.508119,3.3,15.6,66653.0,12.30223861,34.06121356
"Wayne County, MI",26163,1065.188284,4.4,20.6,57418.0,12.10050628,26.8874402
"Jackson County, MO",29095,1026.623686,3.4,12.0,66102.0,8.316162313,33.45699196
"Northwest Arctic Borough, AK",02188,1014.964216,9.6,19.1,78619.0,14.07933399,12.38981391
"Pemiscot County, MO",29155,998.7095326,4.9,27.4,42080.0,16.66666667,12.76574408
"Iberville Parish, LA",22047,974.0162436,4.2,20.2,54265.0,18.97414119,16.64307286
"Pulaski County, AR",05119,959.9165823,3.2,15.7,61344.0,8.038311825,37.36105309
"Jefferson County, AR",05069,959.1343198,4.6,24.3,49581.0,11.43295735,20.64117111
"Miller County, AR",05091,956.1771347,3.6,21.5,50421.0,13.08233175,16.04724464
"Muskogee County, OK",40101,954.4400666,3.9,20.8,52188.0,13.01588019,19.02911744
"Barnwell County, SC",45011,953.9310095,4.3,27.2,46482.0,19.18408389,12.8420599
"Tangipahoa Parish, LA",22105,952.8593755,4.3,19.0,55432.0,16.13005229,22.22837073
"Marion County, SC",45067,941.6313295,4.4,25.4,40171.0,16.00198167,13.77755759
"Dillingham Census Area, AK",02070,938.1237525,6.4,23.4,62598.0,12.64407964,19.35033182
"Dougherty County, GA",13095,930.4176661,4.3,26.4,45863.0,14.64419134,23.23826879
"Carter County, OK",40019,930.0694974,3.7,17.1,56270.0,12.19330855,20.00309789
"Genesee County, MI",26049,922.7783984,5.0,17.9,60192.0,9.108612843,22.83822921
"Macon County, AL",01087,919.341731,3.2,28.8,40710.0,15.79624389,20.73578595
"Milwaukee County, WI",55079,912.6349471,3.8,17.1,63304.0,10.42463435,33.89241692
"Richland County, SC",45079,911.4452882,3.0,15.9,61508.0,8.032161741,41.11678563
"Grundy County, TN",47061,911.2461105,4.5,22.8,41370.0,20.01639848,12.39110382
"Greene County, AL",01063,903.4766697,4.8,31.0,34619.0,17.9939325,12.47629882
"Rock County, MN",27133,892.8571429,1.8,9.8,71923.0,6.658521686,26.32864997
"San Joaquin County, CA",06077,887.1644385,6.2,12.6,86211.0,19.56937278,21.57295804
"Pottawattamie County, IA",19155,873.5225606,2.9,11.6,70768.0,8.957399455,23.54001442
"Nolan County, TX",48353,871.1844118,3.5,20.4,53370.0,16.49624374,13.72078464
"Kodiak Island Borough, AK",02150,856.0311284,4.4,8.5,86250.0,7.462157048,28.60690634
"Winnebago County, IL",17201,854.9331535,6.2,14.7,65795.0,11.35331376,24.59591173
"Suffolk County, MA",25025,831.2342903,3.2,15.1,91386.0,12.39279861,49.89227678
"Saginaw County, MI",26145,828.830479,5.2,16.2,59188.0,8.932343901,23.44664008
"Dallas County, AL",01047,828.6503477,5.4,31.4,39013.0,12.94154546,17.00709609
"Fulton County, GA",13121,826.1767583,3.4,13.0,94510.0,6.366013284,57.99513888
"Anchorage Municipality, AK",02020,824.7217146,3.4,8.9,93881.0,5.991843944,37.67890075
"Madison County, FL",12079,822.2981632,3.3,19.8,52713.0,19.4179739,12.49816742
"Phillips County, AR",05107,818.6675817,6.5,34.2,37338.0,17.36004601,14.53220859
"Sangamon County, IL",17167,817.9969369,4.3,11.9,73004.0,6.291906437,35.11987891
"Haywood County, TN",47075,812.1158911,4.4,21.0,42579.0,17.24832756,13.10550496
"Lucas County, OH",39095,810.9662621,4.2,18.2,60525.0,9.033341772,28.50027026
"Robeson County, NC",37155,809.8427036,5.0,27.7,42180.0,21.11796289,14.55930041
"Meade County, KS",20119,805.8945429,2.1,9.6,71572.0,15.36345776,22.75049116
"Escambia County, FL",12033,798.51676,3.1,14.0,70838.0,9.506195253,28.92978714
"Jefferson County, AL",01073,798.3574913,2.5,16.0,64726.0,9.008057757,35.93676101
"Nicholas County, WV",54067,793.3756981,4.6,19.3,48515.0,11.97010263,19.04283802
"Franklin County, FL",12037,793.2402138,2.9,16.6,55816.0,16.93068308,25.28503683
"St. Clair County, IL",17163,782.1542957,4.6,13.4,66007.0,7.255069163,30.74347719
"Orleans Parish, LA",22071,782.1184796,4.5,23.1,53729.0,10.85361849,41.95147978
"Ector County, TX",48135,781.9089826,3.3,11.7,66813.0,22.37404277,16.6474625
"Avoyelles Parish, LA",22009,777.2585293,4.2,27.0,44650.0,22.95920286,10.92310585
"Rapides Parish, LA",22079,773.792033,3.5,19.9,52379.0,12.58241053,22.41916475
"Sumter County, SC",45085,767.644257,3.8,17.5,55481.0,10.87669342,23.15845486
"Comanche County, OK",40031,766.7864604,3.9,19.5,56973.0,9.427403644,24.17077301
"Mississippi County, AR",05093,763.9897241,4.9,24.9,49484.0,14.39040383,14.17826976
"Colleton County, SC",45029,762.1467132,3.1,23.0,48504.0,14.43440255,16.66790133
"Modoc County, CA",06049,754.3456871,6.3,20.1,51996.0,12.05343274,23.00403852
"Alameda County, CA",06001,753.6935735,4.1,9.5,119230.0,11.10015783,51.4693647
"Sumter County, GA",13261,752.455044,4.5,26.3,43835.0,15.69925138,21.28132798
"Darlington County, SC",45031,746.3016118,3.3,22.3,46249.0,13.48184513,19.69942571
"Red River Parish, LA",22081,742.0733078,3.5,24.5,46817.0,18.75990491,11.17274168
"Lubbock County, TX",48303,740.6920961,3.3,17.1,57883.0,11.18550339,33.32450514
"Socorro County, NM",35053,739.3084622,4.2,25.2,46070.0,15.30323068,20.99943321
"Duval County, TX",48131,738.8316151,4.4,29.1,40415.0,26.42922654,6.97034546
"Bernalillo County, NM",35001,738.4818924,3.5,13.5,68286.0,9.590970826,37.44285699
"Marion County, TX",48315,732.7796776,4.8,21.7,47660.0,13.38782413,15.99492672
"Lee County, SC",45061,730.3646373,3.9,24.5,46256.0,18.97754338,12.78496087
"Shasta County, CA",06089,725.2206951,5.1,13.2,71935.0,7.930256537,23.26668579
"Laurens County, SC",45059,724.7580365,3.2,16.7,56237.0,16.28344791,17.86779482
"North Slope Borough, AK",02185,722.6925459,4.9,12.0,103556.0,9.819227609,14.92741715
"Hinds County, MS",28049,721.5219335,3.1,21.0,50965.0,11.54455161,31.0589703
"Cibola County, NM",35006,720.6877629,5.2,23.7,47530.0,14.59794927,18.83432272
"Tulsa County, OK",40143,719.1412721,3.2,15.1,65619.0,10.20990749,33.71583946
"Putnam County, FL",12107,717.8582747,4.0,21.1,51585.0,17.78644215,14.09466765
"Jefferson County, TX",48245,710.8948399,6.3,20.1,59298.0,15.11605952,19.44985308
"Ohio County, WV",54069,706.6572141,3.8,14.5,59882.0,7.397501439,32.53207841
"San Francisco County, CA",06075,701.4217104,3.3,11.9,125456.0,11.20244218,60.12076421
"Bamberg County, SC",45009,699.9351912,5.3,27.7,41555.0,23.11389293,18.83312842
"Merced County, CA",06047,696.3544912,9.0,18.6,58962.0,28.11074957,14.78021529
"Harris County, TX",48201,696.1038338,4.3,16.0,72348.0,17.51866872,33.74654912
"Jim Wells County, TX",48249,695.7773512,5.2,21.2,50814.0,20.79488425,15.17727052
"Oklahoma County, OK",40109,694.8738489,3.2,16.0,65979.0,11.50812741,35.09476706
"McKinley County, NM",35031,694.3307688,5.2,34.3,41427.0,19.11927663,12.46177031
"Mississippi County, MO",29133,693.1802269,3.8,20.5,48342.0,18.07525495,14.06634627
"Alpine County, CA",06003,690.2502157,6.5,15.6,83265.0,3.735144312,42.10526316
"Calhoun County, GA",13037,689.8666258,2.8,35.5,41260.0,22.86121673,12.14353612
"Dyer County, TN",47045,688.2474551,3.5,17.7,57548.0,10.84135287,21.64277443
"Clark County, NV",32003,685.153077,5.4,12.9,75103.0,13.18611005,27.30858179
"Guadalupe County, NM",35019,681.1689739,4.0,24.9,43463.0,16.84665227,15.51990127
"San Juan County, NM",35045,675.0828044,4.2,19.9,57296.0,13.554649,16.64608206
"Fairfield County, SC",45039,675.0616643,4.0,20.7,48123.0,15.43121417,15.34002084
"McDonald County, MO",29119,673.8186009,3.3,18.2,54452.0,18.65915349,13.42127169
"Taylor County, FL",12123,673.754211,3.4,19.7,50556.0,13.78825634,15.05974059
"Wayne County, GA",13305,668.2847358,3.3,19.7,55797.0,13.70390218,14.01081502
"East Baton Rouge Parish, LA",22033,667.0754469,3.4,20.0,60205.0,9.175165453,38.23044339
"Leon County, FL",12073,664.1948589,3.1,17.6,66063.0,6.289656107,48.58254115
"Lander County, NV",32015,663.1299735,3.6,11.5,87398.0,10.7537947,16.56804734
"Orange County, FL",12095,662.6310837,2.8,12.4,78487.0,9.97253797,38.40842509
"Leflore County, MS",28083,661.2459265,4.9,28.8,33945.0,17.18695399,19.98835178
"Essex County, NJ",34013,659.9836619,5.5,14.2,80005.0,13.20340007,37.88794211
"Peach County, GA",13225,658.9175983,3.8,17.3,68464.0,12.33018714,24.31665666
"Burke County, GA",13033,658.7270427,5.5,21.2,51388.0,15.89437929,14.26007819
"Hamilton County, TN",47065,658.496643,3.2,12.9,73319.0,8.86683494,36.96496864
"Miami-Dade County, FL",12086,656.0124348,1.8,14.1,72030.0,16.9442348,33.20621452
"Columbia County, FL",12023,654.3979391,3.4,17.0,58949.0,14.51122639,16.34514063
"Crockett County, TN",47033,651.0862861,3.3,14.9,56083.0,14.04353286,15.71787359
"Lenoir County, NC",37107,650.100146,3.4,23.1,51601.0,17.52077381,15.81168576
"Hempstead County, AR",05057,649.6395835,3.4,16.6,50576.0,16.56840514,14.59561602
"Hutchinson County, TX",48233,646.2257665,4.3,14.3,64752.0,14.17058428,15.95403328
"Richmond city, VA",51760,644.9835135,3.5,17.6,64903.0,10.73090423,44.0716926
"Jefferson Davis County, MS",28065,644.4593237,4.0,25.0,39794.0,12.42789064,13.54401806
"Conecuh County, AL",01035,644.0599053,3.5,26.5,46702.0,12.51384275,13.12907592
"Morehouse Parish, LA",22067,639.3909155,5.9,31.3,37255.0,16.92899408,12.69230769
"Early County, GA",13099,635.553026,3.9,25.5,43444.0,19.01770417,16.10508281
"Henderson County, TN",47077,634.6263548,3.7,14.0,55656.0,10.75124865,14.35559446
"Richmond County, NY",36085,634.123325,4.9,13.1,93337.0,11.46370132,35.77553762
"New York County, NY",36061,634.0093435,4.6,16.5,100869.0,10.82679852,64.00278318
"Jefferson County, IL",17081,633.9923403,4.7,15.4,60543.0,8.621623713,18.37319093
"Bronx County, NY",36005,632.0428157,6.8,27.7,46894.0,24.70036561,21.95612932
"Queens County, NY",36081,630.3962024,4.6,13.8,81399.0,17.30803093,35.26114602
"Kings County, NY",36047,630.2492642,5.5,19.1,76353.0,15.81623574,41.32591826
"Warren County, GA",13301,629.7229219,4.1,24.2,48308.0,22.1657754,12.67379679
"Nash County, NC",37127,628.8580653,4.6,14.4,65457.0,13.60126202,21.72325721
"Lauderdale County, TN",47097,626.0118726,5.1,24.6,51486.0,17.220223,10.91970975
"Cocke County, TN",47029,625.7222582,4.5,20.4,47491.0,16.34517383,11.6454645
"Bowie County, TX",48037,622.5464503,4.2,14.8,55343.0,9.986697226,22.07138621
"Hampton County, SC",45049,622.3049784,2.8,24.2,44774.0,17.49924081,11.7597935
"Hendry County, FL",12051,621.814203,4.8,22.1,54619.0,30.49715746,10.72913885
"Duval County, FL",12031,621.5464156,3.1,14.5,69455.0,8.995269751,33.0908046
"Durham County, NC",37063,621.2408853,3.1,10.6,81413.0,9.288325562,53.54261071
"Greene County, MO",29077,620.7066615,2.6,14.1,59740.0,6.655329597,32.42787712
"Jefferson County, FL",12065,619.9802734,3.2,23.5,59967.0,12.24564285,18.84296012
"Escambia County, AL",01053,618.6978385,3.1,21.3,50333.0,17.46735166,12.49068591
"Horry County, SC",45051,617.6419817,3.4,12.9,68684.0,8.621866771,26.59600984
"Nueces County, TX",48355,616.5739392,4.2,17.3,63669.0,14.73673403,23.68495354
"Sedgwick County, KS",20173,615.5337693,2.9,13.6,67435.0,10.49431984,31.58549374
"Edgecombe County, NC",37065,615.3956886,5.7,22.6,49972.0,15.61430426,16.72666116
"Montgomery County, KS",20125,615.303861,3.0,17.3,53379.0,10.12646147,21.30756383
"Caddo Parish, LA",22017,614.7822368,4.1,22.8,50773.0,12.4974887,25.2887996
"Graham County, AZ",04009,613.6278747,3.7,17.3,66469.0,15.76185671,14.5913219
"Madera County, CA",06039,612.9051309,7.5,18.0,66084.0,26.95241229,17.12878493
"Sebastian County, AR",05131,612.5237549,3.4,12.8,58112.0,14.82072819,24.38304814
"Emanuel County, GA",13107,612.2359732,4.2,26.1,46017.0,20.61532432,12.84211901
"Camden County, NJ",34007,610.3101467,4.8,12.3,82678.0,10.16523821,35.27554408
"Nye County, NV",32023,609.9723385,6.4,15.4,63071.0,13.34459459,12.67374517
"Greenlee County, AZ",04011,607.8019671,2.9,9.7,71273.0,11.90713101,20.4145937
"Alachua County, FL",12001,605.2451953,3.1,18.5,61843.0,5.77353771,47.66993398
"Union County, AR",05139,604.5117216,4.6,19.0,49664.0,12.04304358,18.91933145
"Peoria County, IL",17143,603.941007,5.5,16.8,62873.0,6.647561157,34.46672503
"Madison County, AL",01089,603.3578174,2.0,10.5,86172.0,7.409038043,45.69029091
"Calhoun County, MI",26025,602.1686961,4.3,14.0,58617.0,9.085754166,22.20404781
"Williamsburg County, SC",45089,601.8084495,4.8,24.8,43711.0,16.62842489,15.36869573
"Roberts County, TX",48393,601.6847172,3.6,9.0,76634.0,2.490421456,22.03065134
"Bradley County, TN",47011,600.895452,3.5,15.0,61440.0,11.59651149,24.63993204
"Anderson County, SC",45007,600.0807801,2.8,13.5,64813.0,12.17937496,26.41467155
"Denver County, CO",08031,599.0808243,3.3,10.5,93572.0,8.644249174,55.64666503
"Chester County, SC",45023,598.5634477,3.9,20.1,51383.0,15.61127136,13.74306634
"Lowndes County, AL",01085,597.9631879,4.6,29.4,42011.0,16.77382483,13.87341049
"Willacy County, TX",48489,597.6004744,7.8,27.8,42279.0,32.26854358,12.18191662
"Cook County, IL",17031,596.6569351,4.4,13.2,80547.0,11.66152495,41.94868973
"Clark County, IN",18019,593.2458517,3.1,9.4,71718.0,9.250352289,25.46146948
"DeKalb County, GA",13089,592.9851123,3.3,13.3,77722.0,9.192164847,46.74763068
"Potter County, TX",48375,592.6303417,3.1,17.8,51177.0,22.5961152,17.33556597
"Arkansas County, AR",05001,591.1487458,2.7,16.8,50198.0,12.51718213,15.32646048
"Chicot County, AR",05017,591.0895457,5.8,29.7,40381.0,18.44632363,17.22803497
"Cochise County, AZ",04003,590.856781,4.5,16.3,53011.0,10.78210601,27.65771519
"Wyandotte County, KS",20209,590.457901,3.4,17.1,61088.0,18.09618105,20.47053277
"Turner County, GA",13287,590.1155643,4.0,23.9,42769.0,19.36804191,11.08382449
"Lake County, CA",06033,588.7879737,5.8,17.6,57945.0,12.91509145,17.74394605
"Luna County, NM",35029,588.020601,10.0,26.4,38641.0,24.09410327,14.72655057
"Manatee County, FL",12081,585.7833537,3.0,10.4,79213.0,8.953137481,34.34397545
"Hampden County, MA",25013,583.3274487,4.3,17.6,67155.0,12.82270115,28.92509019
"Haralson County, GA",13143,582.5583436,3.2,16.3,59384.0,15.42900388,17.42503074
"New Castle County, DE",10003,581.7888096,3.9,10.9,86798.0,7.408736322,39.2211129
"Calhoun County, AL",01015,580.7976974,2.8,20.1,51841.0,13.91379552,20.54510537
"Jackson County, IL",17077,580.1317417,4.4,20.7,48289.0,7.92667589,35.05219469
"St. James Parish, LA",22093,579.2570798,4.5,15.1,64089.0,11.37707282,20.19466474
"Sullivan County, TN",47163,578.5625339,3.5,13.5,57016.0,10.36516662,26.61755668
"Greenville County, SC",45045,577.3131534,2.6,11.3,76281.0,9.507528777,40.03225842
"Concordia Parish, LA",22029,577.2429312,4.7,25.2,43136.0,16.43724037,17.37395129
"Jefferson County, KY",21111,576.7462264,3.9,16.2,64977.0,8.484342844,36.57785935
"Kern County, CA",06029,575.8432818,8.3,19.0,68436.0,22.86501673,18.57357599
"Clayton County, GA",13063,575.2781773,4.1,17.3,57974.0,15.19842954,21.34284805
"Plumas County, CA",06063,572.6708733,7.3,12.7,64121.0,6.016570226,20.46291426
"Emporia city, VA",51595,572.6556908,4.6,20.1,45894.0,24.26571507,15.15234697
"Kershaw County, SC",45055,571.0538102,3.0,12.6,69277.0,10.84132285,22.82667241
"Mecosta County, MI",26107,570.6597383,5.3,18.4,59260.0,8.267363704,22.72218073
"Natchitoches Parish, LA",22069,569.7787317,4.1,24.3,47476.0,12.66892655,25.61355932
"Eddy County, NM",35015,569.6670332,2.6,16.5,66485.0,15.69276278,19.82151362
"Union County, SC",45087,567.2493757,4.1,23.4,40008.0,19.26728586,13.45717234
"West Carroll Parish, LA",22123,566.9428696,6.2,19.6,47030.0,16.31195118,14.12412561
"Vermilion County, IL",17183,565.1757149,5.8,19.5,51813.0,9.265449047,16.2329394
"Rio Arriba County, NM",35039,563.9848273,3.4,18.5,51703.0,13.6123775,18.82830168
"Cumberland County, NC",37051,562.7993899,4.7,15.3,61511.0,7.399905637,27.18954186
"Hardeman County, TN",47069,562.6092907,4.4,21.5,47551.0,17.36761822,11.2987579
"Independence County, AR",05063,562.2077466,3.4,13.5,59695.0,12.50640697,16.87103261
"St. Mary Parish, LA",22101,562.1649889,4.2,21.4,51179.0,19.41385274,13.12156791
"Chambers County, AL",01017,562.0279843,2.4,17.1,50390.0,16.3780428,14.58503512
"Tehama County, CA",06103,561.3968314,5.8,15.0,58333.0,13.72012285,18.84319224
"Brooks County, GA",13027,560.7115236,3.4,22.8,46796.0,17.04278121,13.56626296
"Champaign County, IL",17019,560.2815073,4.1,16.2,62169.0,4.862972213,46.55708869
"Glynn County, GA",13127,559.4542867,2.8,15.7,70067.0,10.3586052,30.44181746
"Petersburg city, VA",51730,559.3459955,5.4,21.2,46216.0,13.04708295,25.01199983
"Norfolk city, VA",51710,558.2211677,3.4,18.3,61098.0,10.37897995,32.663396
"Henderson County, IL",17071,557.9399142,4.2,13.2,62610.0,7.936507937,19.23809524
"Sierra County, CA",06091,557.9258287,4.7,12.6,67675.0,8.608058608,24.4047619
"East Carroll Parish, LA",22035,557.843007,8.8,46.5,34604.0,30.92546064,10.95058626
"Claiborne County, TN",47025,557.6679341,3.9,18.6,53195.0,16.87991701,17.30353592
"Mecklenburg County, NC",37119,556.9251355,3.4,10.2,84796.0,9.205017101,48.60848328
"Del Norte County, CA",06015,556.0937108,5.7,13.8,70231.0,14.45625346,20.97416008
"Prince George's County, MD",24033,555.679764,2.2,11.0,97171.0,13.26143417,36.07875395
"Lafayette Parish, LA",22055,554.917802,3.2,16.9,64181.0,10.0836434,34.85704637
"Butler County, MO",29023,554.7431702,4.4,18.6,48059.0,15.51777648,15.22811131
"Sumter County, AL",01119,553.8507597,3.7,33.5,37021.0,12.04886954,19.02822637
"Maury County, TN",47119,552.7632192,2.8,10.7,74164.0,7.470139963,26.47111135
"Mobile County, AL",01097,552.3100664,3.1,16.3,55538.0,10.99169307,25.15022409
"St. Landry Parish, LA",22097,551.2018597,4.5,23.2,43051.0,19.4186395,14.32986215
"Cumberland County, NJ",34011,551.0639921,6.5,17.0,64240.0,18.72840225,17.94214716
"Tift County, GA",13277,551.0599216,2.9,19.2,53295.0,14.32729148,20.19230769
"Pinellas County, FL",12103,550.6712247,2.8,11.3,70684.0,7.43959585,35.84493698
"Roanoke city, VA",51770,550.4493983,3.2,18.4,51782.0,10.41129616,28.89210717
"Clarendon County, SC",45027,550.1382623,4.0,20.0,47675.0,18.07010564,17.66786014
"Chaves County, NM",35005,549.9597405,3.8,20.1,51179.0,19.05737217,18.20000476
"Quitman County, GA",13239,549.2184199,5.2,23.7,42480.0,17.77777778,8.952380952
"Wicomico County, MD",24045,549.080241,2.5,15.4,70975.0,10.60215771,29.13661434
"Sacramento County, CA",06067,547.6937429,4.4,11.9,89984.0,11.63248072,33.28378227
"Andrews County, TX",48003,547.6516459,3.0,11.4,80936.0,23.12820975,19.94774304
"Stanislaus County, CA",06099,547.107372,6.4,12.6,81582.0,19.8868358,19.1369457
"Spalding County, GA",13255,546.7734102,3.6,16.3,56834.0,14.63263827,17.86704192
"Victoria County, TX",48469,543.1643489,4.1,14.1,69442.0,14.94567029,19.68702087
"St. Francis County, AR",05123,542.9200293,5.0,34.3,41708.0,14.31580252,12.90342563
"Wirt County, WV",54105,542.2809693,5.8,17.7,54506.0,11.12302332,16.24229429
"Halifax County, NC",37083,540.6618899,5.2,25.5,48520.0,19.09262212,15.45731265
"Jeff Davis County, GA",13161,539.8560384,4.3,19.7,47635.0,21.97962154,11.45768351
"Cecil County, MD",24015,538.6947691,2.2,10.0,87592.0,8.458045843,26.90086556
"Brevard County, FL",12009,537.9223453,3.0,10.3,77961.0,6.863828348,33.53988572
"Butler County, AL",01013,537.8731804,2.9,23.6,44729.0,12.40504406,13.76481313
"Montgomery County, TN",47125,536.6094754,3.7,12.6,74701.0,5.653665621,31.72030563
"Beaufort County, SC",45013,536.5518686,2.8,9.5,82199.0,5.807787485,44.77623785
"Forsyth County, NC",37067,535.9614639,3.5,14.8,65556.0,10.07775798,36.87252077
"Fresno County, CA",06019,534.2980847,7.5,17.7,71271.0,21.40307517,23.85449591
"Kent County, DE",10001,534.1880342,4.5,11.7,72498.0,9.804787208,26.73821258
"Howard County, TX",48227,533.9308933,4.3,18.0,63398.0,18.776084,15.34068444
"Putnam County, GA",13237,533.4331571,3.8,15.6,59068.0,12.14389184,28.27740222
"Morgan County, MO",29141,532.938564,3.7,14.9,52072.0,19.94964553,14.90094746
"Anson County, NC",37007,531.3252552,4.0,24.1,50503.0,17.57517594,10.88291747
"Allen County, OH",39003,530.8742806,3.7,14.1,65665.0,7.607074989,19.93422014
"Clinch County, GA",13065,529.8013245,2.8,23.3,45718.0,18.81166881,13.02016302
"Wilkes County, GA",13317,529.4705295,3.7,17.8,48635.0,17.98357406,15.74624752
"Muskegon County, MI",26121,529.2150075,4.4,14.0,61223.0,7.506033325,21.44569184
"Lincoln County, WV",54043,528.7814834,4.9,21.7,47435.0,18.1830868,8.393804075
"Gadsden County, FL",12039,528.2071265,3.9,21.5,51288.0,18.71281951,20.08236909
"Bullock County, AL",01011,526.3652599,2.4,33.6,36204.0,25.95554351,8.999728924
"Dauphin County, PA",42043,525.2143487,3.2,12.9,73929.0,8.520406373,34.28962365
"Hill County, MT",30041,525.1086432,2.5,19.0,51435.0,8.779806445,25.58116332
"Bibb County, GA",13021,524.1693112,4.0,22.1,51569.0,12.59542354,25.98713173
"Knox County, TN",47093,522.4662747,2.8,13.8,70457.0,7.667482411,40.16151728
"Vance County, NC",37181,522.2281735,5.4,23.2,45408.0,14.56290351,18.47496074
"Bryan County, OK",40013,522.1046922,2.9,18.1,50105.0,12.3558746,24.38776483
"Cuyahoga County, OH",39035,521.2349405,3.8,16.0,61912.0,8.755747395,35.91746048
"Taney County, MO",29213,520.7652823,4.9,13.6,54514.0,9.29675425,25.37867079
"Martin County, NC",37117,519.0092409,4.4,19.7,49033.0,16.69185241,15.14922554
"McMinn County, TN",47107,517.7585449,4.2,14.9,55852.0,13.8223918,17.50209074
"Dallas County, AR",05039,516.8284382,3.9,19.6,46701.0,10.98064797,11.13285497
"Delaware County, PA",42045,516.0390268,3.2,10.8,84180.0,6.405873323,41.59693707
"Ward County, TX",48475,515.8306652,3.0,14.1,65610.0,18.95801152,10.68670131
"Gibson County, TN",47053,515.5994096,3.5,14.7,57630.0,11.641687,19.08039967
"Bristol County, MA",25005,515.394913,4.1,12.7,81047.0,13.75209859,30.63198461
"Oconee County, SC",45073,514.3580518,2.8,14.6,67161.0,12.86229099,28.51701935
"Etowah County, AL",01055,513.8024266,2.8,19.6,52504.0,14.22213036,17.47691884
"Pontotoc County, OK",40123,513.2659507,3.1,13.9,61269.0,9.546085233,29.73240833
"Monroe County, FL",12087,512.1085513,1.9,10.0,85639.0,6.742740198,37.80058606
"Gonzales County, TX",48177,512.0126034,3.4,17.6,56350.0,23.00830514,12.64226392
"Abbeville County, SC",45001,511.8566801,3.7,15.3,51580.0,13.80510441,19.32714617
"Galax city, VA",51640,511.7270789,3.9,20.8,46891.0,16.96548633,18.28776333
"Dorchester County, MD",24019,508.2669933,2.3,15.7,63087.0,13.18245749,18.8040745
"Lawrence County, PA",42073,508.2108515,4.2,13.6,61686.0,7.620796697,22.77950235
"Ben Hill County, GA",13017,508.1358835,4.3,24.4,40325.0,15.72464401,12.10797589
"Kings County, CA",06031,508.081611,8.2,17.5,65768.0,25.76482286,13.91909571
"Baltimore County, MD",24005,508.0101821,2.2,9.8,86807.0,8.301364459,41.42213879
"Des Moines County, IA",19057,506.4229249,4.2,14.3,60599.0,6.035985902,23.836023
"Okeechobee County, FL",12093,505.9750826,3.2,17.0,54297.0,20.01325843,16.10202017
"Lancaster County, SC",45057,504.6111014,3.3,10.8,74417.0,10.95849057,31.19451115
"Lee County, IA",19111,504.4560283,4.1,14.4,60053.0,5.836772509,21.03933294
"Calcasieu Parish, LA",22019,504.3626086,3.4,17.6,63912.0,10.60566806,24.70529816
"Randall County, TX",48381,503.6608315,2.9,8.7,81705.0,6.35208902,32.05227798
"St. Charles Parish, LA",22089,503.6395081,3.2,12.9,81482.0,10.93420678,27.21446881
"Baldwin County, GA",13009,501.7485176,4.2,21.4,51206.0,14.78637455,24.12839362
"Pueblo County, CO",08101,501.7002063,4.4,13.5,63801.0,9.542848393,25.01743879
"Cherokee County, TX",48073,501.1989465,4.4,18.9,57691.0,19.30521238,18.45805389
"McNairy County, TN",47109,501.1476664,4.7,15.5,54516.0,12.59425199,11.80745274
"Lea County, NM",35025,501.0137816,3.5,17.0,60820.0,24.41812611,15.27733321
"Franklin County, AL",01059,497.9068882,2.6,22.5,49682.0,20.51427491,14.88939308
"Geary County, KS",20061,497.5390541,3.8,11.0,56899.0,6.586000919,24.37841425
"Tallapoosa County, AL",01123,497.5365871,2.5,15.1,60583.0,16.1911483,18.72500588
"DeWitt County, TX",48123,497.4881725,3.3,18.3,61067.0,14.57700651,15.7483731
"Bay County, FL",12005,497.1797905,2.8,11.8,70859.0,9.233590421,28.04132925
"Scotland County, NC",37165,496.8771686,6.3,28.6,45604.0,17.64125868,14.81179799
"St. Helena Parish, LA",22091,496.5517241,5.3,22.8,46835.0,18.8983729,11.74979995
